Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
109397,-0.736867739,1.262387094,0.673309003,0.307018259,0.840165254,-1.026778667,1.02730085,-0.386258845,0.705468736,-1.452990051,0.52941114,-3.082422232,1.495017764,0.558933451,0.604317154,-0.251004368,1.605396465,1.146496199,0.520843472,0.05149037,0.061823966,0.453130979,-0.600999779,-0.140502535,0.880082622,0.153865363,-0.102139091,0.098492957,33.56,0
76058,1.059091664,-0.812019263,1.122233336,0.384113657,-1.008879822,0.983849926,-0.987062131,0.385060906,1.494499852,-0.434644636,-0.293941291,1.401448775,0.276820671,-0.995168609,-2.266471396,-0.10374705,-0.046690014,-0.005859582,1.308224106,0.088200808,-0.201128809,-0.258943766,-0.165710321,-0.406028565,0.322165163,1.057029315,-0.018906246,0.008462157,71.75,0
48345,0.943860637,-0.055790781,0.425547883,0.977418089,0.270611661,1.359417889,-0.38537394,0.62213426,-0.102974729,0.059306226,2.233583024,0.628174911,-1.466602309,0.92325868,1.50376507,-0.848753529,0.612461332,-1.523607664,-1.762303404,-0.315086647,0.12718939,0.390427341,0.121104543,-0.854693611,0.111370203,-0.322441192,0.076260702,0.003733283,25,0
116714,1.42142206,-0.964926855,-2.258493309,0.285132363,0.648426905,0.85340669,0.035811972,0.313189571,0.92524684,-0.941138946,1.14856126,0.465189979,-1.176188311,-1.087115348,0.13741995,-0.386820297,1.605990882,-0.390470082,-0.508564974,0.185070327,-0.027400617,-0.342303748,-0.024947403,-1.775180163,-0.349273628,0.000937195,-0.012679974,-0.005060618,253.94,0
157552,-2.671124038,2.62841285,-0.348803753,4.266111342,-0.686175646,0.531832158,-0.700416589,1.709758329,-2.721226604,1.416259967,-0.365022751,-0.650738758,-1.261140107,2.032185907,0.541925998,0.638502644,0.480747322,1.227086417,1.474524917,-0.29803826,0.447909188,0.603525245,-0.357312383,-0.347257554,0.584745832,0.677566602,-0.850983587,-0.165879577,23.68,0
87219,0.020786297,0.331087813,-0.606167274,-1.401760062,2.161469706,3.913088215,-0.836378435,1.156256201,0.675952055,-0.74780991,0.128904602,-0.294681582,0.02352893,-1.482823179,1.489767315,1.348160259,-0.26137735,1.044416913,-1.29660818,-0.100281049,0.33777479,0.835232481,0.183953631,0.610219835,-1.313954898,0.129166661,-0.080842617,0.14645539,3.67,0
75166,1.110487768,0.107618333,0.819569343,1.354639986,-0.528606291,-0.267691004,-0.114132095,0.041483322,0.481017264,-0.216203019,-0.211572594,0.670686396,-0.220626046,0.002499727,0.080065308,-0.652980244,0.327852062,-1.092990231,-0.433913942,-0.183105796,-0.216007981,-0.433702052,0.1042097,0.376271462,0.374000571,-0.535825573,0.054892728,0.029285811,15.99,0
37805,1.189094845,-0.17748928,0.560338753,0.138361359,-0.858811488,-0.979464039,-0.180095038,-0.136514971,0.407125967,-0.154394887,-0.347642617,-0.106767073,-0.43847387,0.254173899,1.278117814,0.479845983,-0.352111908,-0.333759039,-0.049489341,-0.013361881,-0.112445564,-0.447643551,0.063965409,0.425133138,0.085728564,0.869818831,-0.080950377,0.01695662,47.7,0
24078,1.250127166,0.060156607,-0.752440643,0.285686518,2.030748918,3.609632942,-0.788805805,0.801707433,1.332631396,-0.266093735,0.728194816,-2.513868565,1.72060103,1.751056087,0.576334982,0.637183247,-0.337817892,0.893243107,-0.445280407,-0.026358509,-0.027853208,0.052992468,-0.159476635,0.956027327,0.753319474,-0.246269438,0.008764587,0.016394099,16.35,0
151984,-0.722799329,0.552172568,1.681333355,-0.467950026,-0.06068782,-0.438586461,0.538034618,0.088882821,0.165231271,-0.670188192,-0.952183622,0.013924797,0.031533657,-0.199734086,0.224965395,0.29945382,-0.529868137,-0.265271904,-0.282977206,0.173520833,-0.151814628,-0.401759414,0.081893487,-0.039775512,-0.33984699,0.019224277,0.325773395,0.202692784,49.99,0
172512,-0.833619976,1.032102685,0.617042907,0.704964352,1.120829527,0.078243745,1.688792081,-0.378657223,-0.930418865,0.177681776,0.638474135,-0.10187881,-1.165843413,0.550389519,-0.673002277,-0.980828744,-0.109112389,0.298321798,1.300142728,-0.031415974,0.043514759,0.313915632,-0.617605987,0.773628084,1.036898945,-0.292494654,-0.364306365,-0.15945033,78,0
21643,-1.710193302,-1.288036518,0.734563419,-3.733431413,2.542090254,2.853864119,-0.546393474,0.989505088,2.618170521,-2.638914988,0.448306693,-2.170990379,1.462417473,1.193758429,-0.30048353,0.355055545,-0.421169005,0.994510564,-0.635811191,0.421826037,0.116179183,0.028977859,0.015808808,0.9722323,0.885859542,-0.256260094,-0.065569677,0.072011769,134.6,0
45582,-0.523035663,0.447408346,2.34074333,1.096767484,-0.695114822,0.264760812,0.568477399,-0.00271564,-0.024593088,-0.001855601,0.163914911,0.252586078,0.651181912,-0.420148863,1.732169546,-0.161184334,-0.188644256,-0.04936648,-0.451073332,0.500515027,0.207505178,0.765794569,0.19073397,0.386999182,-0.188600386,-0.305239128,0.166401583,-0.096053958,127.86,0
64319,1.03718238,-0.115899774,0.746051881,1.305211196,-0.742332023,-0.355361294,-0.164340328,0.112440754,0.403186998,0.011242481,0.960321942,0.621866744,-1.410440921,0.40258351,-0.731482049,-0.068767646,-0.178535423,0.041398425,0.254419682,-0.124520473,-0.187735804,-0.574861608,0.023883402,0.482225328,0.378541748,-0.576023998,0.018935042,0.02612976,58.08,0
147167,1.69044733,0.174106001,-1.660540031,3.592762417,1.121947462,0.527104884,0.635854111,-0.092691715,-1.456208426,1.602975008,-0.043652323,0.339725003,0.251585171,0.533336259,-1.770976046,0.756725326,-1.081672172,0.238461145,-1.041963314,0.061192215,0.366001181,0.788996619,-0.244014353,0.231799813,0.446834982,0.256479072,-0.09702802,-0.046841436,149.81,0
122959,-1.327296809,0.422904408,1.617504873,2.291196086,2.375055077,0.411734608,0.213516912,0.424743057,-1.809624324,0.563424164,-0.215715613,0.255745375,0.143720868,0.066417454,-2.192693257,1.500043746,-1.483051344,-0.097354728,-1.365981619,0.068571701,-0.337965985,-1.461959051,0.192604144,0.068281111,-0.245725047,-0.697654196,0.038215717,0.150059278,0,0
84466,1.302927617,-0.371434353,0.314065798,-1.112276791,-0.263334711,0.467118789,-0.621329153,0.145691364,1.782079124,-1.147426079,-1.32122238,0.826353251,1.053148299,-0.377319708,1.531138301,-0.367402567,-0.425111776,0.088976424,0.719440642,-0.056472785,-0.066781623,0.14200911,-0.189651577,-1.28051718,0.643612208,-0.572966438,0.11397602,0.019551091,1,0
